fr24_id,flight,callsign,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source,hex,type,reg,painted_as,operating_as,orig_iata,orig_icao,dest_iata,dest_icao,eta,queried_timestamp
3ba98002,DK1170,VKG1170,47.5204,19.3255,158,35050,478,0,4563,2025-08-10T06:49:58Z,ADSB,45D965,A21N,OY-VKE,VKG,VKG,CPH,EKCH,RHO,LGRP,2025-08-10T08:49:04Z,1754808600
3ba972b0,FR2518,RYR25GY,47.31688,19.46489,303,3175,200,-1600,4623,2025-08-10T06:59:59Z,ADSB,4D2383,B38M,9H-VVC,RYR,MAY,STN,EGSS,BUD,LHBP,2025-08-10T07:02:51Z,1754809200
3ba9a763,FH624,FHY624,47.43919,19.2361,312,250,148,192,4204,2025-08-10T06:59:59Z,ADSB,4B9910,A320,TC-FHP,FHY,FHY,BUD,LHBP,AYT,LTAI,,1754809200
3ba99706,,HASKD000,47.57012,19.31551,300,1700,77,0,7000,2025-08-10T06:59:59Z,MLAT,47308F,C172,HA-SKD,,,,,,,,1754809200
3ba983f0,JP267,JTD267,47.44638,19.34005,157,39000,459,0,7676,2025-08-10T06:59:59Z,MLAT,45AA90,B737,OY-JTP,JTD,JTD,CPH,EKCH,SMI,LGSM,2025-08-10T08:40:32Z,1754809200
3ba9b031,,HANAG,47.34747,18.95107,141,1400,81,0,7000,2025-08-10T07:09:59Z,MLAT,47225A,AAT3,HA-NAG,,,QHL,LHTL,,,,1754809800
3ba9a247,TK1036,THY8FX,47.43411,19.24441,312,275,93,64,4207,2025-08-10T07:09:59Z,ADSB,4BB27A,A21N,TC-LSZ,THY,THY,BUD,LHBP,IST,LTFM,,1754809800
3ba9ad77,,R903,47.40157,18.98543,291,1400,92,0,7007,2025-08-10T07:09:59Z,MLAT,477FCD,EXPL,R903,,,BUD,LHBP,,,,1754809800
3ba98993,FR5024,RYR936F,47.34554,19.41862,312,2400,198,-1088,1214,2025-08-10T07:09:58Z,ADSB,48C1A4,B738,SP-RNE,RYR,RYS,PSA,LIRP,BUD,LHBP,2025-08-10T07:13:00Z,1754809800
3ba97263,DY1550,NOZ1550,47.32465,19.53997,222,4300,204,-1152,1000,2025-08-10T07:09:59Z,MLAT,47A32E,B738,LN-ENO,NOZ,NOZ,OSL,ENGM,BUD,LHBP,2025-08-10T07:14:12Z,1754809800
3ba9ae43,,HABDY,47.52744,19.02038,26,1775,89,64,7021,2025-08-10T07:09:59Z,MLAT,47030A,C172,HA-BDY,FCA,FCA,QHU,LHBS,,,,1754809800
3ba99706,,HASKD000,47.53302,19.05395,192,1800,85,0,7035,2025-08-10T07:09:59Z,MLAT,47308F,C172,HA-SKD,,,,,,,,1754809800
3ba97316,FR8358,RYR33GT,47.48785,19.37263,132,7350,285,-1280,4627,2025-08-10T07:09:59Z,ADSB,4D251C,B738,9H-QEY,RYR,MAY,MAN,EGCC,BUD,LHBP,2025-08-10T07:17:25Z,1754809800
3ba9b031,,HANAG,47.33147,18.99706,324,375,69,-640,7000,2025-08-10T07:19:31Z,MLAT,47225A,AAT3,HA-NAG,,,QHL,LHTL,,,,1754810400
3ba9ae43,,HABDY,47.55296,19.01888,222,1675,94,0,7021,2025-08-10T07:19:58Z,MLAT,47030A,C172,HA-BDY,FCA,FCA,QHU,LHBS,,,,1754810400
3ba8a6bf,CA719,CCA719,47.34272,19.42355,312,2300,175,-64,4263,2025-08-10T07:19:59Z,MLAT,780FDA,B789,B-7878,CCA,CCA,PEK,ZBAA,BUD,LHBP,2025-08-10T07:21:22Z,1754810400
3ba99736,W62468,WZZ941,47.42207,19.29536,312,300,147,-704,1000,2025-08-10T07:19:58Z,ADSB,471FA7,A21N,HA-LZR,WZZ,WZZ,WAW,EPWA,BUD,LHBP,2025-08-10T07:20:32Z,1754810400
3ba99706,,HASKD000,47.58127,19.31847,133,700,82,0,7035,2025-08-10T07:19:57Z,MLAT,47308F,C172,HA-SKD,,,,,,,,1754810400
3ba9b031,,HANAG,47.34438,18.95332,136,1325,79,-192,7000,2025-08-10T07:29:59Z,MLAT,47225A,AAT3,HA-NAG,,,QHL,LHTL,QHL,LHTL,2025-08-10T07:30:14Z,1754811000
3ba9b57b,LH1335,DLH7MR,47.41764,18.96754,276,8175,290,2112,1000,2025-08-10T07:29:59Z,ADSB,3C6758,A320,D-AIZX,LDA,LDA,BUD,LHBP,FRA,EDDF,2025-08-10T08:46:56Z,1754811000
3ba99cbf,FR678,RYR216V,47.32063,19.18206,299,34000,433,0,1000,2025-08-10T07:29:58Z,ADSB,4D22C2,A320,9H-IHL,LDA,LDA,OTP,LROP,VIE,LOWW,2025-08-10T07:57:52Z,1754811000
3ba9aa2f,,HADOM,47.53531,19.03486,209,1850,95,0,7000,2025-08-10T07:29:59Z,MLAT,470964,C172,HA-DOM,,,QHU,LHBS,,,,1754811000
3ba994f2,W64542,WZZ561,47.56652,19.20586,127,39000,474,0,7641,2025-08-10T07:29:59Z,ADSB,471F83,A320,HA-LYH,WZZ,WZZ,HHN,EDFH,VAR,LBWN,2025-08-10T08:40:32Z,1754811000
3ba9b824,FR3110,RYR78KQ,47.2737,18.94515,205,11350,340,1600,1000,2025-08-10T07:39:59Z,ADSB,48C133,B738,SP-RKU,RYR,RYS,BUD,LHBP,PMI,LEPA,2025-08-10T09:57:20Z,1754811600
3ba9b031,,HANAG,47.3309,18.99755,323,375,71,-576,7000,2025-08-10T07:39:43Z,MLAT,47225A,AAT3,HA-NAG,,,QHL,LHTL,QHL,LHTL,2025-08-10T07:39:42Z,1754811600
3ba9aa2f,,HADOM,47.47064,18.93177,48,1425,93,128,7000,2025-08-10T07:39:59Z,MLAT,470964,C172,HA-DOM,,,QHU,LHBS,,,,1754811600
3ba9b031,,HANAG,47.35126,18.94296,141,1325,82,-192,7000,2025-08-10T07:50:00Z,MLAT,47225A,AAT3,HA-NAG,,,QHL,LHTL,QHL,LHTL,2025-08-10T07:50:27Z,1754812200
3ba9c00b,LH1685,DLH3HP,47.3493,18.97733,250,10050,255,1600,1000,2025-08-10T07:50:00Z,ADSB,3C666A,A321,D-AISJ,GEC,GEC,BUD,LHBP,MUC,EDDM,2025-08-10T08:44:48Z,1754812200
3ba9c81a,,,47.45148,18.96195,262,900,54,128,0,2025-08-10T07:50:00Z,MLAT,470333,C172,HA-BFN,,,QHU,LHBS,,,,1754812200
